TM_DRIVERID,TM_REGISTRATION_NUMBER,COMPANY_CODE,VEHICLE_TYPE_DESCRIPTION,PRODUCT_CODE,FUEL_TYPE,MAX_SPEED,NO_OF_HARSH_BRAKES,NO_OF_HARSH_ACCELERATION,NO_OF_SPEED_VIOLATIONS,NO_EXCESS_IDLE,NO_OF_TRIPS,ENGINE_CAPACITY,FUEL_CONSUMPTION,NUMBER_OF_GEARS,RENTAL,KM_DRIVEN,PROJECTED_EXCESS_KM_CHARGE,SPEED_PENALTY_POINTS,SPEEDING_TIME_SECONDS,DRIVING_TIME,total_time_driven,TM_SCORE,Num_times_yawned,Num_times_Angry,Num_times_sleepy,cluster
65535,FB53ZKGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,137,15,18,69,0,88,2982,10.6,5,10206.8,3095.256,0.0,70.0,1073.0,2644.0,42,67.41808,10,14,10,4
65535,FB53ZRGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,130,0,3,1,0,164,2982,10.6,5,10206.8,1530.35,0.0,1.0,30.0,3292.0,27,97.87649,11,15,12,4
65535,FB53ZWGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,148,2,0,230,0,54,2494,9.6,5,8915.506055,825.216,0.0,458.0,3487.0,3544.0,13,60.4903,12,13,10,2
65535,FB54HPGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,121,12,19,0,0,129,2982,10.6,5,10206.8,2967.861,2828.76,0.0,0.0,2716.0,73,94.6554,12,11,10,4
65535,FB54HZGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,141,1,19,71,0,101,2982,10.6,5,10206.8,2229.192,0.0,90.0,1128.0,1948.0,40,59.419909999999994,9,14,15,4
65535,FB54JCGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,146,3,6,26,0,56,2982,10.6,5,8915.506055,755.295,0.0,33.0,411.0,2128.0,13,55.74423,10,14,14,2
65535,FB54KNGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,152,1,11,264,0,88,2982,10.6,5,8915.506055,1612.888,0.0,501.0,4039.0,2416.0,22,57.982119999999995,12,14,15,0
65535,FB54LFGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,139,4,2,13,0,52,2982,10.6,5,10893.5985,558.585,2476.32,23.0,248.0,736.0,11,60.733309999999996,5,9,10,2
65535,FB54LPGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,152,5,0,160,0,63,2982,10.6,5,10893.5985,1913.3129999999999,0.0,353.0,2451.0,2644.0,30,60.395480000000006,12,11,15,0
65535,FB54LTGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,142,22,2,70,0,170,2982,8.4,5,11225.8339,2395.59,3532.8,132.0,1137.0,2992.0,44,56.69295,9,11,11,4
65535,FB54MFGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,130,1,1,0,0,9,2982,10.6,5,10893.5985,76.134,0.0,0.0,10.0,2528.0,1,91.75035,9,14,11,2
65535,FB54MKGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,169,7,7,181,0,242,2982,8.4,5,9992.605351666667,3893.8206666666665,0.0,305.3333333333333,2801.6666666666665,2506.6666666666665,83,79.43835666666666,8,11,9,4
65535,FB54MYGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,139,8,2,7,0,119,2982,8.4,5,11225.8339,1252.589,0.0,10.0,144.0,2320.0,25,88.79012,11,11,15,2
65535,FB54NLGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,145,5,2,0,0,276,2982,8.4,5,8915.506055,2770.119,0.0,2.0,20.0,2224.0,73,97.86946,12,12,12,4
65535,FB54NPGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,143,24,8,369,0,151,2982,8.4,5,11225.8339,2496.087,11536.8,391.0,5796.0,3376.0,35,55.29213000000001,9,13,15,0
65535,FB61NGGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,PETROL,176,33,2,368,240,184,1389,7.2,5,5187.626666666667,3123.169666666667,0.0,607.3333333333334,5667.0,2721.3333333333335,64,46.30748666666667,10,13,12,0
65535,FB61PCGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,PETROL,170,10,1,303,96,133,1389,7.2,5,4895.693333333334,1292.9740000000002,1835.4000000000003,815.3333333333334,4649.0,2026.6666666666667,29,58.907540000000004,8,8,8,0
