,FR,FL,RR,RL
2016-04-20 06:27:52.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:52.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:53.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:54.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:55.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:56.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:57.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:58.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:59.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:00.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.200,0.0,0.0,0.0,0.0
